City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Port Elizabeth,ZA,66.49,overcast clouds,-33.918,25.5701,39 On Nile Guest House
12,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Busselton,AU,69.04,few clouds,-33.65,115.3333,Observatory Guest House
65,Port Alfred,ZA,68.65,light rain,-33.5906,26.891,The Halyards Hotel
80,Reconquista,AR,68.67,scattered clouds,-29.15,-59.65,Grand Hotel
100,Atar,MR,67.28,scattered clouds,20.5169,-13.0499,Oumou Elghoura
124,Karema,TZ,69.08,light rain,-6.8205,30.4389,
136,Castro,BR,67.89,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
137,Mar Del Plata,AR,67.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
174,Hualmay,PE,66.78,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
195,Huarmey,PE,67.86,broken clouds,-10.0681,-78.1522,Hotel Miramar
202,Katsuura,JP,66.22,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
205,East London,ZA,67.14,few clouds,-33.0153,27.9116,Tu Casa
272,Cidreira,BR,67.17,broken clouds,-30.1811,-50.2056,Hotel Castelo
281,Gainesville,US,69.67,clear sky,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
318,Rawson,AR,67.44,clear sky,-43.3002,-65.1023,Hosteria Sampedro
323,Carora,VE,68.72,scattered clouds,10.1755,-70.0827,Hotel Irpinia
334,Maine-Soroa,NE,66.0,scattered clouds,13.2114,12.0241,Complexe
338,Te Anau,NZ,66.43,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
340,Havelock,US,69.75,clear sky,34.8791,-76.9013,Sherwood Motel
383,Namibe,AO,68.97,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
389,Esperance,AU,66.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
421,Jamiltepec,MX,69.24,few clouds,16.2833,-97.8167,Hotel CÃ¡diz
433,Pimentel,PE,66.81,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
435,Talara,PE,67.24,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
449,Ixtapa,MX,67.55,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
455,Mufumbwe,ZM,66.02,overcast clouds,-13.6833,24.8,
459,Kasamwa,TZ,67.1,overcast clouds,-2.85,32.4333,
490,Nouadhibou,MR,66.42,scattered clouds,20.931,-17.0347,El Medina
504,Jiangkou,CN,66.09,broken clouds,25.4872,119.1986,DFM Hotel
506,Birao,CF,67.96,overcast clouds,10.2849,22.7882,
561,Santa Cruz De La Palma,ES,66.34,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
573,Palora,EC,66.4,overcast clouds,-1.7,-77.9333,Rancho grande
621,Chegutu,ZW,68.88,scattered clouds,-18.1302,30.1407,Jacaranda Lodge
646,Arica,CL,66.43,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
659,Kawerau,NZ,69.39,light rain,-38.1,176.7,Tui Cottage
667,Mangan,IN,66.78,clear sky,27.5167,88.5333,Hotel Mout View
683,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
