City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Gamba,GA,-2.65,10.0,74.32,94,100,2.57,light rain
1,Nikolskoye,RU,59.7035,30.7861,25.39,91,100,7.27,overcast clouds
2,San Vicente,AR,-26.6167,-54.1333,70.41,59,100,3.71,overcast clouds
3,Dikson,RU,73.5069,80.5464,-13.59,83,100,6.29,overcast clouds
4,Punta Arenas,CL,-53.15,-70.9167,50.11,81,0,3.44,clear sky
5,Gambela,ET,8.25,34.5833,73.65,35,35,3.38,scattered clouds
6,Port Elizabeth,ZA,-33.918,25.5701,66.49,72,90,3.44,overcast clouds
7,Faanui,PF,-16.4833,-151.75,80.47,72,75,6.38,light rain
8,Revelstoke,CA,50.9832,-118.2023,32.02,100,90,0.0,light rain
9,Nhulunbuy,AU,-12.2333,136.7667,95.61,49,40,9.22,scattered clouds
10,Lae,PG,-6.7221,146.9847,97.47,72,100,8.59,overcast clouds
11,Anloga,GH,5.7947,0.8973,80.82,81,46,8.16,scattered clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,100,1.99,overcast clouds
13,Mecca,SA,21.4267,39.8261,70.92,49,78,3.94,broken clouds
14,Ribeira Grande,PT,38.5167,-28.7,61.86,68,100,16.22,overcast clouds
15,Port Hardy,CA,50.6996,-127.4199,41.76,93,90,5.75,light snow
16,Ushuaia,AR,-54.8,-68.3,49.66,81,75,6.91,broken clouds
17,Bluff,NZ,-46.6,168.3333,59.81,62,2,17.43,clear sky
18,San Patricio,US,28.017,-97.5169,57.06,37,72,10.45,broken clouds
19,Isangel,VU,-19.55,169.2667,87.91,70,75,5.75,broken clouds
20,Igrim,RU,63.1906,64.4162,18.41,85,100,6.42,overcast clouds
21,Kapaa,US,22.0752,-159.319,80.58,75,75,3.0,broken clouds
22,Albany,US,42.6001,-73.9662,48.07,71,100,5.99,overcast clouds
23,Coihaique,CL,-45.5752,-72.0662,47.01,76,40,4.61,scattered clouds
24,Qiryat Gat,IL,31.61,34.7642,64.9,40,73,1.61,broken clouds
25,Butaritari,KI,3.0707,172.7902,82.56,72,100,17.83,overcast clouds
26,Avarua,CK,-21.2078,-159.775,78.85,78,100,16.11,overcast clouds
27,Rikitea,PF,-23.1203,-134.9692,76.12,78,60,13.2,light rain
28,Hilo,US,19.7297,-155.09,77.29,36,75,3.44,light rain
29,Batemans Bay,AU,-35.7167,150.1833,79.2,59,82,8.19,broken clouds
30,Gravdal,NO,68.1214,13.5031,35.49,93,100,8.08,overcast clouds
31,Vao,NC,-22.6667,167.4833,79.0,88,99,20.36,overcast clouds
32,Qaanaaq,GL,77.484,-69.3632,-1.44,64,0,7.02,clear sky
33,Busselton,AU,-33.65,115.3333,69.04,37,14,11.05,few clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,90,17.27,light snow
35,Chokurdakh,RU,70.6333,147.9167,-46.16,99,93,1.95,overcast clouds
36,Carnarvon,AU,-24.8667,113.6333,78.87,47,0,27.63,clear sky
37,Ginda,IN,30.6945,78.4932,52.81,21,97,2.3,overcast clouds
38,Metro,ID,-5.1131,105.3067,83.08,70,100,1.61,overcast clouds
39,Nalut,LY,30.3333,10.85,45.82,80,3,9.57,clear sky
40,Kavaratti,IN,10.5669,72.642,82.06,71,69,9.15,broken clouds
41,Russell,US,32.3502,-85.1999,60.08,89,90,5.75,overcast clouds
42,Atuona,PF,-9.8,-139.0333,79.25,73,87,17.0,overcast clouds
43,Dwarka,IN,22.2394,68.9678,75.31,53,0,8.9,clear sky
44,Hermanus,ZA,-34.4187,19.2345,60.91,73,100,2.3,overcast clouds
45,Rio Gallegos,AR,-51.6226,-69.2181,50.05,93,90,6.91,light intensity drizzle rain
46,Cape Town,ZA,-33.9258,18.4232,63.09,82,20,1.01,few clouds
47,Lebu,CL,-37.6167,-73.65,51.75,89,34,6.51,scattered clouds
48,Dali,CN,25.7,100.1833,58.96,48,2,1.7,clear sky
49,Tiksi,RU,71.6872,128.8694,-18.4,99,98,3.62,overcast clouds
50,Talnakh,RU,69.4865,88.3972,-23.8,82,99,1.68,overcast clouds
51,Nicoya,CR,10.1483,-85.452,72.95,90,33,1.83,scattered clouds
52,Hobart,AU,-42.8794,147.3294,71.02,47,75,1.99,broken clouds
53,Ushtobe,KZ,45.2514,77.9838,34.92,37,100,6.49,overcast clouds
54,Saint-Philippe,RE,-21.3585,55.7679,81.21,75,83,12.77,light rain
55,Poum,NC,-20.2333,164.0167,82.17,79,100,18.5,overcast clouds
56,Parvatsar,IN,26.8833,74.7667,62.01,33,68,7.14,broken clouds
57,Kholm-Zhirkovskiy,RU,55.5189,33.4731,26.47,97,100,8.23,light snow
58,Guerrero Negro,MX,27.9769,-114.0611,62.62,64,0,11.99,clear sky
59,Dakar,SN,14.6937,-17.4441,72.48,88,62,0.0,broken clouds
60,Torbay,CA,47.6666,-52.7314,37.76,94,90,11.5,light snow
61,Sorong,ID,-0.8833,131.25,85.19,69,21,7.52,few clouds
62,Thompson,CA,55.7435,-97.8558,-5.64,77,90,6.91,overcast clouds
63,Birin,NP,26.8865,88.0718,57.49,47,0,4.34,clear sky
64,Bubaque,GW,11.2833,-15.8333,81.01,75,96,7.92,overcast clouds
65,Port Alfred,ZA,-33.5906,26.891,68.65,89,99,4.97,light rain
66,Hofn,IS,64.2539,-15.2082,41.79,92,100,18.01,moderate rain
67,Port Blair,IN,11.6667,92.75,83.34,67,10,16.08,clear sky
68,Praia,CV,14.9215,-23.5087,70.34,83,20,11.5,few clouds
69,Ossora,RU,59.2353,163.0719,10.47,95,100,8.14,light snow
70,Shar,KZ,49.5886,81.0453,16.05,69,100,15.5,overcast clouds
71,Verkhnevilyuysk,RU,63.4453,120.3167,-32.98,99,83,2.84,broken clouds
72,Harper,LR,4.375,-7.7169,78.42,84,46,5.44,scattered clouds
73,New Norfolk,AU,-42.7826,147.0587,70.66,28,3,5.68,clear sky
74,Korem,ET,12.5058,39.5228,42.55,81,0,0.94,clear sky
75,Rio Grande,BR,-32.035,-52.0986,64.94,82,0,8.9,clear sky
76,Vestmannaeyjar,IS,63.4427,-20.2734,44.67,83,100,28.63,overcast clouds
77,Olga,RU,43.7444,135.2892,31.23,53,57,18.95,broken clouds
78,Ransang,PH,8.9603,117.5828,84.87,71,100,1.45,light rain
79,Umm Kaddadah,SD,13.6017,26.6876,62.94,30,6,11.56,clear sky
80,Reconquista,AR,-29.15,-59.65,68.67,75,28,5.61,scattered clouds
81,Kaitangata,NZ,-46.2817,169.8464,55.92,55,4,9.48,clear sky
82,Simi Valley,US,34.2695,-118.7815,58.35,57,33,1.99,scattered clouds
83,Kudahuvadhoo,MV,2.6708,72.8944,79.48,81,100,19.51,light rain
84,Tasiilaq,GL,65.6145,-37.6368,35.76,67,100,28.41,overcast clouds
85,Pervomayskiy,RU,53.2485,40.2871,20.12,69,67,9.31,broken clouds
86,Biak,ID,-0.9131,122.8766,84.83,68,77,1.83,broken clouds
87,Mataura,NZ,-46.1927,168.8643,58.48,33,0,3.42,clear sky
88,Cegled,HU,47.1727,19.7995,37.18,87,100,13.06,overcast clouds
89,Gizo,SB,-8.103,156.8419,83.88,78,94,11.88,light rain
90,Aklavik,CA,68.2191,-135.0107,-1.48,93,100,20.33,overcast clouds
91,Jamestown,US,42.097,-79.2353,37.71,73,90,7.0,overcast clouds
92,Mahebourg,MU,-20.4081,57.7,81.25,69,20,11.5,few clouds
93,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,78.53,59,100,4.27,overcast clouds
94,Plettenberg,DE,51.2167,7.8833,36.68,97,100,6.13,overcast clouds
95,Zverinogolovskoye,RU,54.4586,64.8542,-1.95,99,34,3.56,scattered clouds
96,Altay,CN,47.8667,88.1167,16.65,59,0,5.73,clear sky
97,Provideniya,RU,64.3833,-173.3,-8.63,79,0,7.87,clear sky
98,Labuhan,ID,-6.8844,112.2051,87.15,60,85,4.05,overcast clouds
99,Port Lincoln,AU,-34.7333,135.8667,83.43,36,57,7.87,broken clouds
100,Atar,MR,20.5169,-13.0499,67.28,17,40,10.74,scattered clouds
101,Tarko-Sale,RU,64.9225,77.785,-6.83,96,79,9.48,broken clouds
102,Norman Wells,CA,65.282,-126.8329,-3.96,71,75,16.11,light snow
103,Georgetown,MY,5.4112,100.3354,85.98,64,20,10.0,few clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,74.01,94,96,18.99,overcast clouds
105,Cabo San Lucas,MX,22.8909,-109.9124,71.15,72,1,3.69,clear sky
106,Khatanga,RU,71.9667,102.5,-46.21,100,50,3.62,scattered clouds
107,Souillac,MU,-20.5167,57.5167,81.36,69,20,11.5,few clouds
108,Bethel,US,41.3712,-73.414,60.91,83,90,5.99,moderate rain
109,Jumla,NP,29.2747,82.1838,50.61,15,85,1.03,overcast clouds
110,Beringovskiy,RU,63.05,179.3167,-22.65,98,34,6.78,scattered clouds
111,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,40,15.1,scattered clouds
112,Mayo,US,38.8876,-76.5119,60.78,70,90,8.05,overcast clouds
113,Sabang,ID,5.8933,95.3214,83.14,73,63,21.88,broken clouds
114,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.46,91,75,14.29,broken clouds
115,Bredasdorp,ZA,-34.5322,20.0403,58.28,88,96,2.3,overcast clouds
116,Kargasok,RU,59.0556,80.8572,2.57,94,95,10.4,overcast clouds
117,Sao Filipe,CV,14.8961,-24.4956,74.39,69,75,4.25,broken clouds
118,Airai,TL,-8.9266,125.4092,73.17,71,66,0.69,broken clouds
119,Tuatapere,NZ,-46.1333,167.6833,58.82,46,0,9.64,clear sky
120,Caucaia,BR,-3.7361,-38.6531,85.06,77,40,10.36,scattered clouds
121,Erzin,TR,36.9559,36.2,52.32,64,8,7.81,clear sky
122,Den Helder,NL,52.9599,4.7593,46.98,94,90,23.0,overcast clouds
123,Moba,CN,33.2288,105.0179,35.26,47,4,3.78,clear sky
124,Karema,TZ,-6.8205,30.4389,69.08,85,67,8.3,light rain
125,Yelkhovka,RU,53.8667,50.2832,11.16,88,10,3.65,clear sky
126,Naron,ES,43.5167,-8.1528,55.02,88,64,4.59,broken clouds
127,Palmer,US,42.1584,-72.3287,63.09,79,90,15.99,light rain
128,Upernavik,GL,72.7868,-56.1549,4.64,91,100,9.91,overcast clouds
129,Nantucket,US,41.2835,-70.0995,62.94,91,90,29.93,mist
130,Faya,SA,18.3851,42.4509,41.11,39,98,2.82,overcast clouds
131,Kodiak,US,57.79,-152.4072,9.91,56,1,40.29,clear sky
132,Garowe,SO,8.4054,48.4845,70.18,74,3,10.54,clear sky
133,Jasper,US,37.2001,-94.3502,37.02,62,1,1.01,clear sky
134,Grindavik,IS,63.8424,-22.4338,41.47,93,75,16.11,broken clouds
135,Hasaki,JP,35.7333,140.8333,57.6,60,55,19.57,broken clouds
136,Castro,BR,-24.7911,-50.0119,67.89,53,100,2.08,overcast clouds
137,Mar Del Plata,AR,-38.0023,-57.5575,67.87,91,0,21.99,clear sky
138,Micheweni,TZ,-4.9667,39.8333,79.79,81,33,9.08,moderate rain
139,Vardo,NO,70.3705,31.1107,28.11,85,100,16.89,overcast clouds
140,Luderitz,NA,-26.6481,15.1594,58.66,79,69,10.25,broken clouds
141,Zhigansk,RU,66.7697,123.3711,-10.66,98,100,8.97,overcast clouds
142,Yellowknife,CA,62.456,-114.3525,8.42,89,90,8.05,light snow
143,Bose,IT,45.4612,8.0137,35.82,47,26,5.41,scattered clouds
144,Bilibino,RU,68.0546,166.4372,-40.7,99,17,3.47,few clouds
145,Izumo,JP,35.3667,132.7667,60.69,59,75,18.41,broken clouds
146,Zhanakorgan,KZ,43.9098,67.2495,43.77,78,100,12.68,overcast clouds
147,Mogadishu,SO,2.0371,45.3438,78.04,81,32,15.57,scattered clouds
148,Quatre Cocos,MU,-20.2078,57.7625,81.09,64,20,14.81,few clouds
149,Shenjiamen,CN,29.9576,122.298,53.92,78,100,22.88,overcast clouds
150,Southbridge,US,42.0751,-72.0334,63.28,92,100,8.99,moderate rain
151,Eunice,US,30.4944,-92.4176,53.56,57,100,11.63,overcast clouds
152,Cherskiy,RU,68.75,161.3,-45.8,99,39,3.06,scattered clouds
153,Zaanstad,NL,52.4531,4.8125,46.38,95,75,5.01,light intensity drizzle
154,Tiarei,PF,-17.5333,-149.3333,84.22,71,34,7.18,scattered clouds
155,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.58,99,100,0.89,light rain
156,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,89,100,16.71,overcast clouds
157,Pevek,RU,69.7008,170.3133,-35.68,97,42,5.86,scattered clouds
158,Vila Velha,BR,-20.3297,-40.2925,76.95,89,75,10.0,broken clouds
159,Praya,CV,14.9215,-23.5087,70.34,83,20,11.5,few clouds
160,Srednekolymsk,RU,67.45,153.6833,-50.12,100,81,2.35,broken clouds
161,Hithadhoo,MV,-0.6,73.0833,80.26,79,93,7.47,overcast clouds
162,Basavana Bagevadi,IN,16.5833,75.9667,75.27,63,4,13.33,clear sky
163,Spasskoye,RU,44.6108,132.7969,19.2,63,54,13.18,broken clouds
164,Wewak,PG,-3.5534,143.6268,84.22,76,100,7.65,overcast clouds
165,Kuytun,RU,54.3419,101.5036,11.86,84,100,2.19,light snow
166,Otane,NZ,-39.8833,176.6333,58.01,98,100,5.37,overcast clouds
167,Port-Gentil,GA,-0.7193,8.7815,78.15,87,100,11.36,overcast clouds
168,Saint-Pierre,RE,-21.3393,55.4781,81.28,66,0,4.61,clear sky
169,San Ignacio,BZ,17.1561,-89.0714,71.74,94,0,0.0,clear sky
170,Berlevag,NO,70.8578,29.0864,28.71,78,100,10.09,overcast clouds
171,Labrea,BR,-7.2586,-64.7981,73.45,93,100,3.02,overcast clouds
172,Shahr-E Kord,IR,32.3256,50.8644,19.17,73,0,2.3,clear sky
173,Vaini,TO,-21.2,-175.2,86.16,79,20,8.05,light rain
174,Hualmay,PE,-11.0964,-77.6139,66.78,88,54,8.23,broken clouds
175,Severo-Kurilsk,RU,50.6789,156.125,32.76,96,100,24.14,snow
176,Itarema,BR,-2.9248,-39.9167,80.33,77,25,14.74,scattered clouds
177,Hambantota,LK,6.1241,81.1185,75.54,100,40,3.44,scattered clouds
178,Bayeux,BR,-7.125,-34.9322,79.43,83,20,5.75,few clouds
179,Kiama,AU,-34.6833,150.8667,73.99,63,63,15.57,broken clouds
180,Mount Isa,AU,-20.7333,139.5,98.37,9,0,8.05,clear sky
181,Athabasca,CA,54.7169,-113.2854,26.42,88,70,4.88,broken clouds
182,Saint George,US,37.1041,-113.5841,40.32,62,1,1.01,clear sky
183,Phichit,TH,16.25,100.4167,89.01,39,2,1.57,clear sky
184,Touros,BR,-5.1989,-35.4608,79.7,68,56,14.0,broken clouds
185,Paamiut,GL,61.994,-49.6678,23.99,86,100,23.69,overcast clouds
186,Camargo,MX,27.6667,-105.1667,55.99,42,2,7.61,clear sky
187,Kuito,AO,-12.3833,16.9333,58.77,95,100,3.2,overcast clouds
188,Salalah,OM,17.0151,54.0924,75.29,35,0,13.8,clear sky
189,Empalme,MX,27.9667,-110.8167,63.91,49,0,8.34,clear sky
190,Ngunguru,NZ,-35.6167,174.5,75.16,92,93,8.68,overcast clouds
191,Samdrup Jongkhar,BT,26.9167,91.6167,65.43,47,1,4.03,clear sky
192,Cayenne,GF,4.9333,-52.3333,80.1,89,75,5.01,light rain
193,Bengkulu,ID,-3.8004,102.2655,76.26,89,100,1.36,overcast clouds
194,Saldanha,ZA,-33.0117,17.9442,57.25,83,100,2.46,overcast clouds
195,Huarmey,PE,-10.0681,-78.1522,67.86,84,54,6.76,broken clouds
196,Portland,US,45.5234,-122.6762,47.89,93,90,1.01,overcast clouds
197,Miraflores,MX,19.2167,-98.8083,59.04,54,89,3.62,overcast clouds
198,Kailua,US,21.4022,-157.7394,78.78,69,20,10.36,few clouds
199,Malumfashi,NG,11.7853,7.6218,62.98,20,98,9.06,overcast clouds
200,Evensk,RU,61.95,159.2333,2.43,59,94,16.42,overcast clouds
201,Ashqelon,IL,31.6693,34.5715,65.91,45,55,3.31,broken clouds
202,Katsuura,JP,35.1333,140.3,66.22,65,34,23.02,scattered clouds
203,Clyde River,CA,70.4692,-68.5914,-1.97,84,26,9.22,scattered clouds
204,Dunedin,NZ,-45.8742,170.5036,56.41,61,19,12.88,few clouds
205,East London,ZA,-33.0153,27.9116,67.14,94,20,0.0,few clouds
206,Kahului,US,20.8947,-156.47,78.82,75,20,21.85,few clouds
207,Marsh Harbour,BS,26.5412,-77.0636,76.42,77,8,6.64,clear sky
208,Bandarbeyla,SO,9.4942,50.8122,77.68,76,59,20.69,light rain
209,Takoradi,GH,4.8845,-1.7554,78.94,86,47,4.29,scattered clouds
210,Chuy,UY,-33.6971,-53.4616,60.67,88,1,6.04,clear sky
211,Ruwi,OM,23.5996,58.5507,64.09,52,2,4.41,clear sky
212,Ottumwa,US,41.02,-92.4113,34.95,60,1,3.0,clear sky
213,Musiri,IN,10.9333,78.45,80.64,72,6,5.77,clear sky
214,Manta,EC,-0.95,-80.7333,73.18,88,90,3.44,light rain
215,Youghal,IE,51.95,-7.8506,54.61,100,99,19.26,overcast clouds
216,Tobermory,CA,45.2501,-81.6665,32.31,59,66,35.97,broken clouds
217,Lubao,PH,14.9167,120.55,87.87,74,98,11.1,overcast clouds
218,Svetlogorsk,BY,52.6333,29.7333,38.55,96,100,6.42,overcast clouds
219,Todos Santos,MX,23.45,-110.2167,70.66,78,0,8.34,clear sky
220,Araouane,ML,18.9048,-3.5265,63.14,10,6,9.26,clear sky
221,Mtambile,TZ,-5.3833,39.7,78.26,83,16,7.67,moderate rain
222,Aswan,EG,24.0934,32.907,65.5,59,0,13.8,clear sky
223,Nerchinskiy Zavod,RU,51.3088,119.61,-0.47,73,5,2.51,clear sky
224,Dortyol,TR,36.8616,36.2289,46.06,64,7,10.76,clear sky
225,Hovd,MN,48.0056,91.6419,9.05,61,0,0.34,clear sky
226,Palauig,PH,15.435,119.9045,84.88,66,65,6.76,broken clouds
227,Ponta Do Sol,PT,32.6667,-17.1,65.01,79,54,3.38,broken clouds
228,Nizhniy Tsasuchey,RU,50.5167,115.1333,9.81,61,10,6.38,clear sky
229,Oranjemund,NA,-28.55,16.4333,59.56,89,61,6.15,broken clouds
